Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 05-May-2025 at 14:08:55.
Created 05-May-2025 14:08:55.                                                                      
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.73104E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.0750	 	 	 	 	-0.000043
 0.1000	-0.000056	-0.000955	 0.000904	 0.018522	-0.000060
 0.1250	 	 	 	 	-0.000098
 0.1500	-0.000110	-0.001232	 0.002208	 0.034476	-0.000135
 0.1750	 	 	 	 	-0.000191
 0.2000	-0.000184	-0.001802	 0.004375	 0.053663	-0.000245
 0.2250	 	 	 	 	-0.000309
 0.2500	-0.000269	-0.001685	 0.007410	 0.070000	-0.000370
 0.2750	 	 	 	 	-0.000536
 0.3000	-0.000331	-0.000993	 0.011248	 0.086362	-0.000689
 0.3250	 	 	 	 	-0.001086
 0.3500	-0.000374	-0.000841	 0.015923	 0.104165	-0.001438
 0.3750	 	 	 	 	-0.001783
 0.4000	-0.000416	-0.000973	 0.021448	 0.121037	-0.002067
 0.4250	 	 	 	 	-0.002327
 0.4500	-0.000472	-0.001426	 0.027780	 0.137094	-0.002514
 0.4750	 	 	 	 	-0.002650
 0.5000	-0.000567	-0.002663	 0.034903	 0.153314	-0.002710
 0.5250	 	 	 	 	-0.002697
 0.5500	-0.000768	-0.005818	 0.042817	 0.169336	-0.002605
 0.5750	 	 	 	 	-0.002356
 0.6000	-0.001232	-0.013349	 0.051590	 0.188231	-0.002024
 0.6250	 	 	 	 	-0.001422
 0.6500	-0.002265	-0.028782	 0.061316	 0.208097	-0.000753
 0.6750	 	 	 	 	 0.000390
 0.7000	-0.004196	-0.049571	 0.072083	 0.230517	 0.001569
 0.7250	 	 	 	 	 0.003535
 0.7500	-0.007336	-0.077529	 0.084041	 0.256297	 0.005449
 0.7750	 	 	 	 	 0.007953
 0.8000	-0.011907	-0.107164	 0.097181	 0.278646	 0.010268
 0.8250	 	 	 	 	 0.012942
 0.8500	-0.017807	-0.131457	 0.111245	 0.294219	 0.015246
 0.8750	 	 	 	 	 0.018847
 0.9000	-0.024756	-0.149732	 0.126052	 0.308457	 0.021644
 0.9250	 	 	 	 	 0.024513
 0.9500	-0.032390	-0.159653	 0.141332	 0.314292	 0.026146
 0.9750	 	 	 	 	 0.030365
 1.0000	-0.040606	-0.170591	 0.156868	 0.318412	 0.031852


 -------- Mode No.   3  (freq = 0.16076E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000143
 0.0500	 0.000082	 0.003298	-0.000005	-0.000183	-0.000285
 0.0750	 	 	 	 	-0.000474
 0.1000	 0.000348	 0.007462	-0.000013	-0.000168	-0.000663
 0.1250	 	 	 	 	-0.001079
 0.1500	 0.000893	 0.014579	-0.000018	-0.000062	-0.001494
 0.1750	 	 	 	 	-0.002113
 0.2000	 0.001800	 0.022229	-0.000022	-0.000076	-0.002726
 0.2250	 	 	 	 	-0.003466
 0.2500	 0.003068	 0.029306	-0.000020	 0.000134	-0.004190
 0.2750	 	 	 	 	-0.006242
 0.3000	 0.004701	 0.037039	-0.000002	 0.000534	-0.008225
 0.3250	 	 	 	 	-0.013698
 0.3500	 0.006696	 0.044012	 0.000029	 0.000678	-0.018905
 0.3750	 	 	 	 	-0.024510
 0.4000	 0.008997	 0.049497	 0.000062	 0.000646	-0.029723
 0.4250	 	 	 	 	-0.035359
 0.4500	 0.011529	 0.053411	 0.000090	 0.000438	-0.040454
 0.4750	 	 	 	 	-0.045743
 0.5000	 0.014197	 0.054865	 0.000101	-0.000068	-0.050375
 0.5250	 	 	 	 	-0.055548
 0.5500	 0.016803	 0.050648	 0.000073	-0.001102	-0.059880
 0.5750	 	 	 	 	-0.065437
 0.6000	 0.018909	 0.034401	-0.000029	-0.003051	-0.069832
 0.6250	 	 	 	 	-0.074902
 0.6500	 0.019622	-0.005937	-0.000255	-0.006078	-0.078517
 0.6750	 	 	 	 	-0.082216
 0.7000	 0.017831	-0.066616	-0.000640	-0.009415	-0.084147
 0.7250	 	 	 	 	-0.084981
 0.7500	 0.012345	-0.154752	-0.001191	-0.012741	-0.084055
 0.7750	 	 	 	 	-0.080931
 0.8000	 0.002155	-0.256099	-0.001882	-0.015224	-0.076598
 0.8250	 	 	 	 	-0.070118
 0.8500	-0.012791	-0.346893	-0.002669	-0.016738	-0.063449
 0.8750	 	 	 	 	-0.051537
 0.9000	-0.031846	-0.421460	-0.003523	-0.017950	-0.041349
 0.9250	 	 	 	 	-0.030027
 0.9500	-0.053813	-0.465472	-0.004418	-0.018455	-0.023132
 0.9750	 	 	 	 	-0.003991
 1.0000	-0.078490	-0.517314	-0.005334	-0.018803	 0.002986


 -------- Mode No.   4  (freq = 0.30925E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000201
 0.0500	-0.000037	-0.001446	-0.000189	-0.007497	 0.000401
 0.0750	 	 	 	 	 0.000667
 0.1000	-0.000162	-0.003578	-0.000738	-0.014642	 0.000931
 0.1250	 	 	 	 	 0.001513
 0.1500	-0.000425	-0.006976	-0.001722	-0.025066	 0.002089
 0.1750	 	 	 	 	 0.002940
 0.2000	-0.000843	-0.009883	-0.003211	-0.035130	 0.003770
 0.2250	 	 	 	 	 0.004747
 0.2500	-0.001386	-0.012052	-0.005096	-0.041307	 0.005670
 0.2750	 	 	 	 	 0.008169
 0.3000	-0.002012	-0.013179	-0.007213	-0.044564	 0.010453
 0.3250	 	 	 	 	 0.016347
 0.3500	-0.002642	-0.012198	-0.009405	-0.044284	 0.021501
 0.3750	 	 	 	 	 0.026483
 0.4000	-0.003164	-0.008861	-0.011478	-0.039857	 0.030514
 0.4250	 	 	 	 	 0.034133
 0.4500	-0.003442	-0.002359	-0.013226	-0.031086	 0.036648
 0.4750	 	 	 	 	 0.038384
 0.5000	-0.003266	 0.009442	-0.014410	-0.017003	 0.039056
 0.5250	 	 	 	 	 0.038729
 0.5500	-0.002321	 0.028340	-0.014763	 0.002587	 0.037424
 0.5750	 	 	 	 	 0.034217
 0.6000	-0.000269	 0.053329	-0.013904	 0.032032	 0.030282
 0.6250	 	 	 	 	 0.023722
 0.6500	 0.003044	 0.077712	-0.011388	 0.069726	 0.017166
 0.6750	 	 	 	 	 0.007413
 0.7000	 0.007003	 0.078950	-0.006740	 0.118376	-0.000998
 0.7250	 	 	 	 	-0.012225
 0.7500	 0.010053	 0.040732	 0.000673	 0.181372	-0.020454
 0.7750	 	 	 	 	-0.027582
 0.8000	 0.010081	-0.040875	 0.011142	 0.242288	-0.030845
 0.8250	 	 	 	 	-0.030691
 0.8500	 0.005494	-0.142280	 0.024262	 0.289237	-0.027250
 0.8750	 	 	 	 	-0.016800
 0.9000	-0.004268	-0.245573	 0.039744	 0.336358	-0.005116
 0.9250	 	 	 	 	 0.010506
 0.9500	-0.018435	-0.317702	 0.056855	 0.357468	 0.021430
 0.9750	 	 	 	 	 0.056050
 1.0000	-0.037463	-0.413355	 0.074940	 0.373514	 0.069409


 -------- Mode No.   5  (freq = 0.34188E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000239
 0.0500	-0.000084	-0.003307	 0.000034	 0.001347	 0.000478
 0.0750	 	 	 	 	 0.000794
 0.1000	-0.000342	-0.007071	 0.000127	 0.002412	 0.001109
 0.1250	 	 	 	 	 0.001800
 0.1500	-0.000833	-0.012721	 0.000282	 0.003859	 0.002486
 0.1750	 	 	 	 	 0.003499
 0.2000	-0.001588	-0.017722	 0.000509	 0.005312	 0.004488
 0.2250	 	 	 	 	 0.005655
 0.2500	-0.002544	-0.020926	 0.000789	 0.006058	 0.006760
 0.2750	 	 	 	 	 0.009761
 0.3000	-0.003613	-0.022308	 0.001095	 0.006400	 0.012510
 0.3250	 	 	 	 	 0.019606
 0.3500	-0.004679	-0.020747	 0.001410	 0.006410	 0.025794
 0.3750	 	 	 	 	 0.031736
 0.4000	-0.005583	-0.015777	 0.001716	 0.005989	 0.036468
 0.4250	 	 	 	 	 0.040574
 0.4500	-0.006131	-0.006305	 0.001992	 0.005190	 0.043208
 0.4750	 	 	 	 	 0.044649
 0.5000	-0.006022	 0.010707	 0.002221	 0.004046	 0.044601
 0.5250	 	 	 	 	 0.042812
 0.5500	-0.004802	 0.038231	 0.002386	 0.002533	 0.039584
 0.5750	 	 	 	 	 0.032762
 0.6000	-0.001920	 0.076851	 0.002435	-0.000812	 0.024806
 0.6250	 	 	 	 	 0.011775
 0.6500	 0.003017	 0.118798	 0.002262	-0.006539	-0.001251
 0.6750	 	 	 	 	-0.020851
 0.7000	 0.009291	 0.129745	 0.001691	-0.016777	-0.038136
 0.7250	 	 	 	 	-0.062033
 0.7500	 0.014726	 0.084070	 0.000484	-0.031919	-0.080525
 0.7750	 	 	 	 	-0.098229
 0.8000	 0.016092	-0.032280	-0.001477	-0.047232	-0.108557
 0.8250	 	 	 	 	-0.113247
 0.8500	 0.010544	-0.189595	-0.004108	-0.059105	-0.111069
 0.8750	 	 	 	 	-0.097975
 0.9000	-0.003299	-0.359366	-0.007330	-0.070830	-0.080878
 0.9250	 	 	 	 	-0.056183
 0.9500	-0.024555	-0.483123	-0.010961	-0.076156	-0.038071
 0.9750	 	 	 	 	 0.021648
 1.0000	-0.054325	-0.651753	-0.014836	-0.080189	 0.045053


 -------- Mode No.   6  (freq = 0.57443E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000433
 0.0500	-0.000096	-0.003730	-0.000021	-0.000821	 0.000866
 0.0750	 	 	 	 	 0.001437
 0.1000	-0.000382	-0.007715	-0.000084	-0.001709	 0.002003
 0.1250	 	 	 	 	 0.003237
 0.1500	-0.000895	-0.012795	-0.000198	-0.002837	 0.004448
 0.1750	 	 	 	 	 0.006207
 0.2000	-0.001609	-0.015803	-0.000356	-0.003486	 0.007879
 0.2250	 	 	 	 	 0.009775
 0.2500	-0.002393	-0.015657	-0.000528	-0.003422	 0.011467
 0.2750	 	 	 	 	 0.015718
 0.3000	-0.003068	-0.011348	-0.000675	-0.002444	 0.019228
 0.3250	 	 	 	 	 0.027055
 0.3500	-0.003419	-0.002635	-0.000750	-0.000584	 0.032534
 0.3750	 	 	 	 	 0.036093
 0.4000	-0.003249	 0.009590	-0.000719	 0.001867	 0.037054
 0.4250	 	 	 	 	 0.035407
 0.4500	-0.002385	 0.025195	-0.000554	 0.004715	 0.031416
 0.4750	 	 	 	 	 0.024691
 0.5000	-0.000654	 0.043993	-0.000243	 0.007717	 0.016673
 0.5250	 	 	 	 	 0.005523
 0.5500	 0.001967	 0.060022	 0.000199	 0.009925	-0.005304
 0.5750	 	 	 	 	-0.020493
 0.6000	 0.004979	 0.058419	 0.000700	 0.010049	-0.032671
 0.6250	 	 	 	 	-0.045558
 0.6500	 0.006866	 0.014492	 0.001119	 0.006821	-0.052316
 0.6750	 	 	 	 	-0.053589
 0.7000	 0.005645	-0.062320	 0.001313	 0.001185	-0.046860
 0.7250	 	 	 	 	-0.026042
 0.7500	 0.000421	-0.138984	 0.001183	-0.006058	-0.000509
 0.7750	 	 	 	 	 0.035842
 0.8000	-0.006811	-0.137762	 0.000707	-0.012927	 0.068079
 0.8250	 	 	 	 	 0.099640
 0.8500	-0.010953	-0.018970	-0.000073	-0.018468	 0.118463
 0.8750	 	 	 	 	 0.130191
 0.9000	-0.006313	 0.201066	-0.001150	-0.024729	 0.123234
 0.9250	 	 	 	 	 0.096337
 0.9500	 0.009806	 0.420847	-0.002452	-0.027752	 0.067871
 0.9750	 	 	 	 	-0.053704
 1.0000	 0.043455	 0.782843	-0.003902	-0.030285	-0.106113


 -------- Mode No.   7  (freq = 0.70522E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000169
 0.0500	-0.000044	-0.001705	 0.000323	 0.012558	-0.000337
 0.0750	 	 	 	 	-0.000559
 0.1000	-0.000156	-0.002817	 0.001201	 0.022618	-0.000778
 0.1250	 	 	 	 	-0.001255
 0.1500	-0.000326	-0.004027	 0.002609	 0.033643	-0.001719
 0.1750	 	 	 	 	-0.002387
 0.2000	-0.000546	-0.004816	 0.004420	 0.038801	-0.003014
 0.2250	 	 	 	 	-0.003712
 0.2500	-0.000787	-0.004914	 0.006271	 0.035610	-0.004321
 0.2750	 	 	 	 	-0.005817
 0.3000	-0.001027	-0.004769	 0.007772	 0.024746	-0.007055
 0.3250	 	 	 	 	-0.009958
 0.3500	-0.001235	-0.003609	 0.008519	 0.005135	-0.012292
 0.3750	 	 	 	 	-0.014429
 0.4000	-0.001364	-0.001442	 0.008171	-0.019449	-0.016213
 0.4250	 	 	 	 	-0.018115
 0.4500	-0.001354	 0.002052	 0.006549	-0.046188	-0.020034
 0.4750	 	 	 	 	-0.022492
 0.5000	-0.001112	 0.007935	 0.003597	-0.073008	-0.025309
 0.5250	 	 	 	 	-0.029480
 0.5500	-0.000497	 0.016888	-0.000562	-0.094801	-0.034053
 0.5750	 	 	 	 	-0.041544
 0.6000	 0.000608	 0.026745	-0.005624	-0.108863	-0.048800
 0.6250	 	 	 	 	-0.058712
 0.6500	 0.001992	 0.026524	-0.010929	-0.104291	-0.066639
 0.6750	 	 	 	 	-0.075199
 0.7000	 0.002789	 0.003595	-0.015265	-0.069290	-0.079205
 0.7250	 	 	 	 	-0.078768
 0.7500	 0.001832	-0.041133	-0.016690	 0.012988	-0.072850
 0.7750	 	 	 	 	-0.059512
 0.8000	-0.001144	-0.071972	-0.013227	 0.126295	-0.044365
 0.8250	 	 	 	 	-0.026245
 0.8500	-0.004260	-0.045180	-0.004146	 0.237947	-0.012866
 0.8750	 	 	 	 	 0.000445
 0.9000	-0.004132	 0.052461	 0.011194	 0.372661	 0.002005
 0.9250	 	 	 	 	-0.008805
 0.9500	 0.001869	 0.175697	 0.031560	 0.443346	-0.024224
 0.9750	 	 	 	 	-0.100931
 1.0000	 0.018648	 0.403546	 0.055447	 0.503335	-0.135695


 -------- Mode No.   8  (freq = 0.84727E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000484
 0.0500	-0.000096	-0.003691	-0.000002	-0.000091	 0.000965
 0.0750	 	 	 	 	 0.001598
 0.1000	-0.000370	-0.007243	-0.000013	-0.000336	 0.002220
 0.1250	 	 	 	 	 0.003560
 0.1500	-0.000828	-0.010895	-0.000038	-0.000613	 0.004850
 0.1750	 	 	 	 	 0.006668
 0.2000	-0.001394	-0.011597	-0.000069	-0.000625	 0.008318
 0.2250	 	 	 	 	 0.010056
 0.2500	-0.001903	-0.008690	-0.000093	-0.000304	 0.011427
 0.2750	 	 	 	 	 0.014267
 0.3000	-0.002155	-0.001253	-0.000087	 0.000554	 0.015911
 0.3250	 	 	 	 	 0.017231
 0.3500	-0.001958	 0.009233	-0.000036	 0.001501	 0.015379
 0.3750	 	 	 	 	 0.010064
 0.4000	-0.001227	 0.020014	 0.000058	 0.002219	 0.002236
 0.4250	 	 	 	 	-0.008949
 0.4500	-0.000007	 0.028579	 0.000176	 0.002413	-0.020929
 0.4750	 	 	 	 	-0.034518
 0.5000	 0.001482	 0.030254	 0.000279	 0.001591	-0.046506
 0.5250	 	 	 	 	-0.058791
 0.5500	 0.002661	 0.015884	 0.000301	-0.000789	-0.066889
 0.5750	 	 	 	 	-0.072689
 0.6000	 0.002508	-0.021749	 0.000162	-0.004638	-0.072177
 0.6250	 	 	 	 	-0.063688
 0.6500	 0.000049	-0.071680	-0.000165	-0.007997	-0.050770
 0.6750	 	 	 	 	-0.028323
 0.7000	-0.003842	-0.075800	-0.000564	-0.007607	-0.009603
 0.7250	 	 	 	 	 0.009723
 0.7500	-0.005894	-0.000683	-0.000825	-0.002804	 0.014889
 0.7750	 	 	 	 	 0.003068
 0.8000	-0.002963	 0.110294	-0.000786	 0.004168	-0.022309
 0.8250	 	 	 	 	-0.063821
 0.8500	 0.003631	 0.134354	-0.000412	 0.010693	-0.103289
 0.8750	 	 	 	 	-0.159065
 0.9000	 0.007097	-0.010896	 0.000325	 0.018469	-0.187172
 0.9250	 	 	 	 	-0.188136
 0.9500	-0.000521	-0.274019	 0.001349	 0.022484	-0.163940
 0.9750	 	 	 	 	 0.007765
 1.0000	-0.034007	-0.836148	 0.002576	 0.025988	 0.092338


 -------- Mode No.   9  (freq = 0.10634E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000044
 0.0500	-0.000004	-0.000137	-0.000002	-0.000067	-0.000087
 0.0750	 	 	 	 	-0.000144
 0.1000	-0.000014	-0.000275	-0.000007	-0.000123	-0.000201
 0.1250	 	 	 	 	-0.000326
 0.1500	-0.000032	-0.000434	-0.000014	-0.000176	-0.000452
 0.1750	 	 	 	 	-0.000642
 0.2000	-0.000055	-0.000506	-0.000023	-0.000181	-0.000838
 0.2250	 	 	 	 	-0.001088
 0.2500	-0.000080	-0.000481	-0.000031	-0.000138	-0.001351
 0.2750	 	 	 	 	-0.002167
 0.3000	-0.000101	-0.000389	-0.000036	-0.000055	-0.003031
 0.3250	 	 	 	 	-0.005642
 0.3500	-0.000118	-0.000344	-0.000036	 0.000045	-0.008327
 0.3750	 	 	 	 	-0.011418
 0.4000	-0.000137	-0.000471	-0.000032	 0.000119	-0.014464
 0.4250	 	 	 	 	-0.017937
 0.4500	-0.000170	-0.000877	-0.000025	 0.000143	-0.021248
 0.4750	 	 	 	 	-0.024914
 0.5000	-0.000232	-0.001680	-0.000019	 0.000105	-0.028421
 0.5250	 	 	 	 	-0.032808
 0.5500	-0.000344	-0.002794	-0.000016	 0.000018	-0.037074
 0.5750	 	 	 	 	-0.043671
 0.6000	-0.000508	-0.003673	-0.000017	-0.000059	-0.050216
 0.6250	 	 	 	 	-0.060184
 0.6500	-0.000685	-0.003344	-0.000021	-0.000073	-0.070124
 0.6750	 	 	 	 	-0.085848
 0.7000	-0.000815	-0.002017	-0.000024	-0.000045	-0.101143
 0.7250	 	 	 	 	-0.125480
 0.7500	-0.000897	-0.001799	-0.000025	-0.000009	-0.148078
 0.7750	 	 	 	 	-0.176199
 0.8000	-0.001045	-0.004493	-0.000024	 0.000057	-0.200804
 0.8250	 	 	 	 	-0.227694
 0.8500	-0.001340	-0.006910	-0.000019	 0.000178	-0.249765
 0.8750	 	 	 	 	-0.283181
 0.9000	-0.001618	-0.003317	-0.000004	 0.000393	-0.308743
 0.9250	 	 	 	 	-0.335129
 0.9500	-0.001489	 0.008042	 0.000019	 0.000541	-0.350768
 0.9750	 	 	 	 	-0.396421
 1.0000	-0.000032	 0.037980	 0.000051	 0.000685	-0.414002


 -------- Mode No.  10  (freq = 0.11544E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000472
 0.0500	-0.000062	-0.002387	-0.000025	-0.000961	 0.000942
 0.0750	 	 	 	 	 0.001554
 0.1000	-0.000236	-0.004482	-0.000093	-0.001728	 0.002150
 0.1250	 	 	 	 	 0.003415
 0.1500	-0.000504	-0.006014	-0.000195	-0.002286	 0.004611
 0.1750	 	 	 	 	 0.006248
 0.2000	-0.000785	-0.005081	-0.000303	-0.001969	 0.007672
 0.2250	 	 	 	 	 0.009073
 0.2500	-0.000957	-0.001661	-0.000373	-0.000812	 0.010053
 0.2750	 	 	 	 	 0.011666
 0.3000	-0.000889	 0.004444	-0.000366	 0.001124	 0.012101
 0.3250	 	 	 	 	 0.010344
 0.3500	-0.000506	 0.010755	-0.000257	 0.003205	 0.006251
 0.3750	 	 	 	 	-0.000180
 0.4000	 0.000129	 0.014390	-0.000061	 0.004588	-0.007226
 0.4250	 	 	 	 	-0.014929
 0.4500	 0.000821	 0.012872	 0.000173	 0.004707	-0.020784
 0.4750	 	 	 	 	-0.024475
 0.5000	 0.001225	 0.002951	 0.000368	 0.003091	-0.024534
 0.5250	 	 	 	 	-0.019881
 0.5500	 0.000889	-0.015717	 0.000439	-0.000098	-0.011306
 0.5750	 	 	 	 	 0.006229
 0.6000	-0.000371	-0.031474	 0.000334	-0.003819	 0.024798
 0.6250	 	 	 	 	 0.050661
 0.6500	-0.001682	-0.015763	 0.000085	-0.005833	 0.070563
 0.6750	 	 	 	 	 0.090151
 0.7000	-0.001214	 0.034160	-0.000210	-0.005970	 0.098143
 0.7250	 	 	 	 	 0.097665
 0.7500	 0.001625	 0.069267	-0.000473	-0.004550	 0.092334
 0.7750	 	 	 	 	 0.088293
 0.8000	 0.004100	 0.019310	-0.000614	-0.000943	 0.095101
 0.8250	 	 	 	 	 0.121031
 0.8500	 0.002541	-0.075131	-0.000521	 0.004757	 0.159634
 0.8750	 	 	 	 	 0.240428
 0.9000	-0.002046	-0.084301	-0.000036	 0.014351	 0.307081
 0.9250	 	 	 	 	 0.362928
 0.9500	-0.002313	 0.076934	 0.000853	 0.020700	 0.371949
 0.9750	 	 	 	 	 0.264771
 1.0000	 0.019202	 0.580085	 0.002091	 0.026865	 0.194857


 -------- Mode No.  11  (freq = 0.12603E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000025
 0.0500	 0.000101	 0.003852	-0.000355	-0.013550	-0.000049
 0.0750	 	 	 	 	-0.000080
 0.1000	 0.000363	 0.006536	-0.001262	-0.022472	-0.000108
 0.1250	 	 	 	 	-0.000161
 0.1500	 0.000739	 0.008327	-0.002542	-0.028084	-0.000199
 0.1750	 	 	 	 	-0.000221
 0.2000	 0.001128	 0.007038	-0.003840	-0.023145	-0.000191
 0.2250	 	 	 	 	-0.000069
 0.2500	 0.001387	 0.003222	-0.004675	-0.009876	 0.000164
 0.2750	 	 	 	 	 0.001207
 0.3000	 0.001399	-0.002859	-0.004687	 0.009641	 0.002663
 0.3250	 	 	 	 	 0.008067
 0.3500	 0.001073	-0.010125	-0.003617	 0.033332	 0.014428
 0.3750	 	 	 	 	 0.022345
 0.4000	 0.000432	-0.015428	-0.001482	 0.052208	 0.030314
 0.4250	 	 	 	 	 0.038994
 0.4500	-0.000371	-0.016409	 0.001338	 0.060631	 0.046124
 0.4750	 	 	 	 	 0.051918
 0.5000	-0.001040	-0.009911	 0.004212	 0.054177	 0.054705
 0.5250	 	 	 	 	 0.054107
 0.5500	-0.001124	 0.006492	 0.006329	 0.030301	 0.049570
 0.5750	 	 	 	 	 0.037543
 0.6000	-0.000220	 0.027687	 0.006668	-0.016810	 0.022975
 0.6250	 	 	 	 	 0.000571
 0.6500	 0.001344	 0.029713	 0.004320	-0.076164	-0.017995
 0.6750	 	 	 	 	-0.037214
 0.7000	 0.001978	-0.006527	-0.000915	-0.129626	-0.044307
 0.7250	 	 	 	 	-0.038666
 0.7500	 0.000362	-0.051444	-0.007761	-0.136988	-0.023058
 0.7750	 	 	 	 	 0.002231
 0.8000	-0.002060	-0.034250	-0.012838	-0.059844	 0.021220
 0.8250	 	 	 	 	 0.030266
 0.8500	-0.001825	 0.042869	-0.012391	 0.079075	 0.023325
 0.8750	 	 	 	 	-0.010080
 0.9000	 0.001678	 0.077683	-0.002445	 0.309394	-0.045081
 0.9250	 	 	 	 	-0.076648
 0.9500	 0.003017	-0.032526	 0.017098	 0.459349	-0.077511
 0.9750	 	 	 	 	 0.032523
 1.0000	-0.012844	-0.438857	 0.044859	 0.605005	 0.100269


 -------- Mode No.  12  (freq = 0.15097E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	 0.000770
 0.0500	-0.000109	-0.004125	-0.000020	-0.000755	 0.001531
 0.0750	 	 	 	 	 0.002514
 0.1000	-0.000400	-0.007313	-0.000074	-0.001374	 0.003450
 0.1250	 	 	 	 	 0.005378
 0.1500	-0.000809	-0.008626	-0.000151	-0.001623	 0.007116
 0.1750	 	 	 	 	 0.009315
 0.2000	-0.001166	-0.005292	-0.000218	-0.000956	 0.010972
